Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-24 11-11-53,2024-09-24 16-11-53,1,2.5,0.2,957.633,344.936,3,1,3,1,236,1,2.5937,1,1,1,
2024-09-24 11-12-54,2024-09-24 16-12-54,1,1.3,0.3,962.758,349.492,3,1,3,1,44,1,1.71074,1,1,1,
2024-09-24 11-13-55,2024-09-24 16-13-55,1,1.4,0.4,987.883,352.73,3,1,3,1,15,1,1.77438,1,1,1,
2024-09-24 11-14-55,2024-09-24 16-14-55,1,1.5,0.3,1349.57,456.368,3,1,4,1,183,1,2.09256,1,1,1,
2024-09-24 11-15-56,2024-09-24 16-15-56,1,1.1,0.2,1366.19,456.565,3,1,4,1,44,1,1.65785,1,1,1,
2024-09-24 11-16-56,2024-09-24 16-16-56,1,0.4,0.3,1366.19,453.323,3,1,4,1,11,0,0.171901,1,1,1,
2024-09-24 11-17-57,2024-09-24 16-17-57,1,0.2,0.2,1366.32,453.324,3,1,4,1,1,0,0.0743802,1,1,1,
2024-09-24 11-18-58,2024-09-24 16-18-58,1,0.2,0.1,1366.32,453.326,3,1,4,1,4,0,0.0760331,1,1,1,
2024-09-24 11-19-58,2024-09-24 16-19-58,1,0.2,0.1,1366.44,400.959,3,1,3,1,4,0,0.0743802,1,1,1,
2024-09-24 11-20-59,2024-09-24 16-20-59,1,0.2,0.2,1366.94,400.961,3,1,3,1,4,0,0.0818182,1,1,1,
2024-09-24 11-22-00,2024-09-24 16-22-00,1,0.3,0.1,1440.32,241.787,3,1,1,1,33,0,0.104132,1,1,1,
2024-09-24 11-23-00,2024-09-24 16-23-00,1,0.2,0.1,1440.32,241.788,3,1,1,1,1,0,0.0520661,1,1,1,
2024-09-24 11-24-01,2024-09-24 16-24-01,1,0.3,0.2,1440.32,241.79,3,1,1,1,4,0,0.0669421,1,1,1,
2024-09-24 11-25-01,2024-09-24 16-25-01,1,0.2,0.1,1440.32,241.794,3,1,1,1,5,0,0.085124,1,1,1,
2024-09-24 11-26-02,2024-09-24 16-26-02,1,0.2,0.3,1440.32,241.795,3,1,1,1,12,0,0.085124,1,1,1,
2024-09-24 11-27-03,2024-09-24 16-27-03,1,1.6,0.4,1584.42,397.319,3,1,3,1,45,1,1.65785,1,1,1,
