Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-09-24 15-19-22,2024-09-24 20-19-22,1,2.6,0.3,1096.57,388.954,3,1,3,1,319,1,3.10513,1,1,1,
2024-09-24 15-20-23,2024-09-24 20-20-23,1,0.1,0.3,1096.57,388.954,3,1,3,1,2,0,0.0438017,1,1,1,
2024-09-24 15-21-23,2024-09-24 20-21-23,1,1.1,0.2,1110.95,392.237,3,1,3,1,19,1,1.4719,1,1,1,
2024-09-24 15-22-24,2024-09-24 20-22-24,1,0.7,0.5,1113.57,395.617,3,1,3,1,6,0,0.633058,1,1,1,
2024-09-24 15-23-25,2024-09-24 20-23-25,1,0.4,0.5,1113.57,395.622,3,1,3,1,4,0,0.0272727,1,1,1,
2024-09-24 15-24-25,2024-09-24 20-24-25,1,0.4,0.4,1113.57,388.46,3,1,3,1,7,0,0.122314,1,1,1,
2024-09-24 15-25-26,2024-09-24 20-25-26,1,1.5,0.4,1126.82,398.979,3,1,3,1,12,2,1.89504,1,1,1,
2024-09-24 15-26-26,2024-09-24 20-26-26,1,1.6,0.3,1147.95,410.926,3,1,3,1,15,2,1.99339,1,1,1,
2024-09-24 15-27-27,2024-09-24 20-27-27,1,1.5,0.2,1159.45,414.603,3,1,3,1,15,2,2.11322,1,1,1,
2024-09-24 15-28-28,2024-09-24 20-28-28,1,1.7,0.6,1176.45,418.338,3,1,3,1,31,2,2.20992,1,1,1,
2024-09-24 15-29-28,2024-09-24 20-29-28,1,1,0.5,1232.2,426.859,3,1,3,1,46,0,0.824793,1,1,1,
2024-09-24 15-30-29,2024-09-24 20-30-29,1,0.4,0.2,1232.2,426.866,3,1,3,1,3,0,0.0512397,1,1,1,
2024-09-24 15-31-30,2024-09-24 20-31-30,1,1,0.4,1235.82,425.642,3,1,4,1,14,2,1.50496,1,1,1,
2024-09-24 15-32-30,2024-09-24 20-32-30,1,11.6,0.8,1914.32,656.185,8,1,7,1,206,2,2.67851,1,1,1,
2024-09-24 15-33-31,2024-09-24 20-33-31,1,1.5,0.8,1948.45,596.781,8,1,7,1,49,1,1.71405,1,1,1,
2024-09-24 15-34-31,2024-09-24 20-34-31,1,1.2,0.8,1975.45,634.818,8,1,7,1,105,0,1.00413,1,1,1,
2024-09-24 15-35-32,2024-09-24 20-35-32,1,1.6,0.8,2242.95,715.43,9,1,8,1,194,2,2.10661,1,1,1,
2024-09-24 15-36-33,2024-09-24 20-36-33,1,1.1,0.8,2245.7,703.798,9,1,8,1,13,1,1.10744,1,1,1,
2024-09-24 15-37-33,2024-09-24 20-37-33,1,1.3,0.7,2258.32,622.692,9,1,7,1,15,2,1.88512,1,1,1,
2024-09-24 15-38-34,2024-09-24 20-38-34,1,1.2,0.4,2275.2,493.559,9,1,5,1,29,2,1.8843,1,1,1,
2024-09-24 15-39-34,2024-09-24 20-39-34,1,1.5,0.5,2275.2,480.12,9,1,4,1,48,2,2.23967,1,1,1,
2024-09-24 15-40-35,2024-09-24 20-40-35,1,1.5,0.4,2275.23,431.004,9,1,3,1,25,2,2.22893,1,1,1,
2024-09-24 15-41-36,2024-09-24 20-41-36,1,2.2,0.4,2309.98,562.49,18,1,5,1,158,2,2.43306,1,1,1,
2024-09-24 15-42-36,2024-09-24 20-42-36,1,1.5,0.4,2325.61,591.101,18,1,5,1,119,2,2.55289,1,1,1,
2024-09-24 15-43-37,2024-09-24 20-43-37,1,1.4,0.3,2337.48,591.099,18,1,5,1,30,2,2.46033,1,1,1,
2024-09-24 15-44-37,2024-09-24 20-44-37,1,1.6,0.4,2341.48,588.964,19,1,5,1,51,2,2.83636,1,1,1,
2024-09-24 15-45-38,2024-09-24 20-45-38,1,1.1,0.8,2357.73,587.472,20,1,5,1,48,2,1.91736,1,1,1,
2024-09-24 15-46-39,2024-09-24 20-46-39,1,1.3,0.3,2358.98,524.276,20,1,4,1,29,2,2.16198,1,1,1,
2024-09-24 15-47-39,2024-09-24 20-47-39,1,0.2,0.2,2358.98,524.282,20,1,4,1,4,0,0.092562,1,1,1,
2024-09-24 15-48-40,2024-09-24 20-48-40,1,0.3,0.4,2358.98,524.29,20,1,4,1,8,0,0.0966942,1,1,1,
2024-09-24 15-49-40,2024-09-24 20-49-40,1,0.4,0.4,2375.98,528.197,20,1,4,1,37,0,0.160331,1,1,1,
2024-09-24 15-50-41,2024-09-24 20-50-41,1,0.3,0.5,2375.98,528.207,20,1,4,1,5,0,0.105785,1,1,1,
2024-09-24 15-51-42,2024-09-24 20-51-42,1,0.3,0.4,2381.6,351.045,20,1,1,1,7,0,0.119008,1,1,1,
2024-09-24 15-52-42,2024-09-24 20-52-42,1,0.3,0.5,2381.6,351.063,20,1,1,1,5,0,0.112397,1,1,1,
2024-09-24 15-53-43,2024-09-24 20-53-43,1,0.3,0.4,2381.6,351.073,20,1,1,1,7,0,0.115702,1,1,1,
2024-09-24 15-54-43,2024-09-24 20-54-43,1,0.3,0.5,2381.6,351.073,20,1,1,1,5,0,0.0983471,1,1,1,
2024-09-24 15-55-44,2024-09-24 20-55-44,1,0.3,0.3,2381.6,351.073,20,1,1,1,8,0,0.101653,1,1,1,
2024-09-24 15-56-45,2024-09-24 20-56-45,1,0.3,0.5,2381.6,351.073,20,1,1,1,3,0,0.092562,1,1,1,
2024-09-24 15-57-45,2024-09-24 20-57-45,1,0.2,0.3,2381.6,351.073,20,1,1,1,2,0,0.0727273,1,1,1,
2024-09-24 15-58-46,2024-09-24 20-58-46,1,0.3,0.5,2381.6,351.076,20,1,1,1,12,0,0.0867769,1,1,1,
2024-09-24 15-59-46,2024-09-24 20-59-46,1,0.3,0.3,2381.6,351.162,20,1,1,1,38,0,0.120661,1,1,1,
2024-09-24 16-00-47,2024-09-24 21-00-47,1,0.2,0.4,2381.6,351.162,20,1,1,1,4,0,0.0942149,1,1,1,
2024-09-24 16-01-48,2024-09-24 21-01-48,1,0.2,0.4,2381.6,351.162,20,1,1,1,4,0,0.092562,1,1,1,
2024-09-24 16-02-48,2024-09-24 21-02-48,1,0.2,0.4,2381.6,351.162,20,1,1,1,3,0,0.0842975,1,1,1,
2024-09-24 16-03-49,2024-09-24 21-03-49,1,0.2,0.3,2381.6,351.162,20,1,1,1,3,0,0.0834711,1,1,1,
2024-09-24 16-04-49,2024-09-24 21-04-49,1,0.2,0.3,2381.6,351.162,20,1,1,1,8,0,0.0942149,1,1,1,
2024-09-24 16-05-50,2024-09-24 21-05-50,1,0.2,0.4,2381.6,351.162,20,1,1,1,3,0,0.0909091,1,1,1,
2024-09-24 16-06-51,2024-09-24 21-06-51,1,0.2,0.3,2381.6,351.162,20,1,1,1,4,0,0.0818182,1,1,1,
2024-09-24 16-07-51,2024-09-24 21-07-51,1,0.2,0.4,2381.6,351.162,20,1,1,1,4,0,0.092562,1,1,1,
2024-09-24 16-08-52,2024-09-24 21-08-52,1,1.6,0.5,2387.97,521.126,20,1,4,1,33,0,1.02397,1,1,1,
